cell,group,env_id,condition,family,option_seed,budget,max_steps,reward_delay,gamma,discount,tag,n_options,primitive_step,point,low,high,method,n_seeds,limit
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,4954.0,26.35431293881645,4.514715090795241,32.683095546908774,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,5147.125329312005,26.628730407748588,4.817040277570452,36.52389327641688,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,5347.779401623988,26.913845689368756,5.131151223581696,40.51441957401791,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,5556.2557153152675,27.210075824169138,5.457507381520456,42.318806443629725,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,5772.859210422653,27.517854110430047,5.7965861152514915,41.567250885109246,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,5997.906714678756,27.83763073800893,6.148883398056912,40.786396898099554,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,6231.727406938553,28.0,6.514914538100427,39.97510232098372,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,6474.663298672035,28.0,6.895214932172879,39.13218046644065,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,6727.069734227224,28.0,7.290340848821578,38.25639838566768,median-range,5,10002198
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp3,64,6989.3159105953055,28.0,7.700870242008931,37.34647506493612,median-range,5,10002198
